Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
409,Christian Laettner,1993,2005,868,29.7,12.8,6.7,2.6,1.1,0.8,.480,.261,.820,64.9,.121,laettch01
410,Ken Norman,1988,1997,646,29.4,13.5,6.1,2.1,0.8,0.7,.486,.312,.567,27.1,.069,normake01
411,Thurl Bailey,1984,1999,928,26.8,12.8,5.1,1.4,0.5,1.2,.473,.114,.812,45.0,.087,baileth01
412,Mike Woodson,1981,1991,786,25.5,14.0,2.3,2.3,1.2,0.3,.466,.271,.813,34.6,.083,woodsmi01
413,Al Harrington,1999,2014,981,28.6,13.5,5.6,1.7,0.9,0.3,.444,.352,.727,42.5,.073,harrial01
414,Andrew Bogut,2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,.535,.120,.557,50.6,.122,bogutan01
415,Kenny Carr,1978,1987,674,25.5,11.6,7.4,1.4,0.7,0.4,.510,.079,.684,33.6,.094,carrke01
416,Don Kojis,1964,1975,814,23.6,12.2,5.6,1.4,0.9,0.2,.446,,.720,35.8,.089,kojisdo01
417,Ron Behagen,1974,1980,388,23.5,10.3,7.0,1.6,0.7,0.4,.425,,.754,13.0,.068,behagro01
418,Luol Deng,2005,2019,902,34.3,14.8,6.1,2.3,1.0,0.5,.456,.332,.769,74.0,.115,denglu01
419,Brian Grant,1995,2006,756,28.3,10.5,7.4,1.2,0.6,0.7,.490,.214,.746,54.5,.122,grantbr01
420,James Edwards,1978,1996,1168,24.3,12.7,5.1,1.3,0.4,0.7,.495,.048,.698,59.7,.101,edwarja01
421,Tyrone Hill,1991,2004,801,28.0,9.4,8.6,0.8,0.8,0.5,.502,.000,.643,56.2,.120,hillty01
422,Jerome Kersey,1985,2001,1153,24.4,10.3,5.5,1.9,1.2,0.7,.465,.201,.690,69.5,.119,kerseje01
423,Hot Rod Williams,1987,1999,887,29.7,11.0,6.8,1.8,0.8,1.6,.480,.105,.726,70.5,.129,williho01
424,Ernie DiGregorio,1974,1978,312,25.2,9.6,2.0,5.1,0.6,0.0,.415,,.902,2.5,.016,digreer01
425,Johnny Davis,1977,1986,750,28.3,12.9,2.0,4.5,0.9,0.2,.448,.176,.821,38.5,.087,davisjo01
426,Bucky Bockhorn,1959,1965,474,31.2,11.5,4.7,3.5,,,.403,,.748,7.9,.026,bockhbu01
427,Don Nelson,1963,1976,1053,20.6,10.3,4.9,1.4,0.3,0.1,.480,,.765,74.6,.165,nelsodo01
428,Troy Murphy,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,.445,.388,.785,50.3,.121,murphtr01
429,Al Attles,1961,1971,711,25.1,8.9,3.5,3.5,,,.451,,.632,36.5,.098,attleal01
430,Curtis Rowe,1972,1979,590,31.0,11.6,7.2,1.6,0.5,0.5,.482,,.701,34.1,.090,rowecu01
431,Mike Miller,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,.459,.407,.769,60.7,.105,millemi01
432,Eddie Miles,1964,1972,605,25.9,13.4,3.1,2.0,,,.440,,.747,24.4,.075,milesed01
433,Roy Hinson,1984,1991,507,30.7,14.2,6.8,1.0,0.6,1.7,.499,.000,.741,30.2,.093,hinsoro01
434,Herm Gilliam,1970,1977,578,26.0,10.8,3.8,3.8,1.3,0.2,.441,,.792,20.8,.066,gillihe01
435,Adrian Smith,1962,1971,719,25.5,11.8,2.2,2.4,,,.429,,.836,31.7,.083,smithad01
436,Rex Chapman,1989,2000,666,29.3,14.6,2.5,2.7,0.9,0.2,.430,.350,.800,24.7,.061,chapmre01
437,Andrei Kirilenko,2002,2015,797,30.0,11.8,5.5,2.7,1.4,1.8,.474,.310,.754,75.4,.151,kirilan01
438,Dave Greenwood,1980,1991,823,28.4,10.2,7.9,2.0,0.7,0.9,.477,.138,.765,46.4,.095,greenda01
439,B.J. Armstrong,1990,2000,747,23.8,9.8,1.8,3.3,0.7,0.1,.477,.425,.856,45.0,.121,armstbj01
440,Jamal Crawford,2001,2020,1327,29.4,14.6,2.2,3.4,0.9,0.2,.410,.348,.862,60.7,.075,crawfja01
441,Quintin Dailey,1983,1992,528,23.0,14.1,2.5,2.3,0.9,0.1,.454,.158,.779,12.7,.050,dailequ01
442,Jim Paxson,1980,1990,784,27.2,14.3,2.0,2.9,1.2,0.1,.498,.225,.807,53.7,.121,paxsoji02
443,Spud Webb,1986,1998,814,24.9,9.9,2.1,5.3,1.1,0.1,.452,.314,.848,40.2,.095,webbsp01
444,Shane Battier,2002,2014,977,30.7,8.6,4.2,1.8,1.0,0.9,.437,.384,.743,75.7,.121,battish01
445,Albert King,1982,1992,534,24.0,12.1,4.2,2.2,0.8,0.4,.461,.268,.791,16.3,.061,kingal01
446,Gerald Wilkins,1986,1999,900,29.0,13.0,2.9,3.0,1.0,0.2,.450,.316,.745,33.9,.062,wilkige01
447,Sam Bowie,1985,1995,511,27.6,10.9,7.5,2.1,0.5,1.8,.452,.302,.748,26.9,.091,bowiesa01
448,Charles Smith,1989,1997,564,29.0,14.4,5.8,1.4,0.8,1.4,.475,.194,.774,40.9,.120,smithch01
449,Josh Howard,2004,2013,507,30.3,14.3,5.7,1.6,1.0,0.5,.448,.332,.770,38.0,.119,howarjo01
450,Dell Curry,1987,2002,1083,21.7,11.7,2.4,1.8,0.9,0.2,.457,.402,.843,41.5,.085,curryde01
451,Zaid Abdul-Aziz,1969,1978,505,21.8,9.0,8.0,1.2,0.6,1.0,.428,,.728,17.5,.076,abdulza01
452,Emeka Okafor,2005,2018,616,30.9,12.0,9.7,0.8,0.7,1.6,.512,.000,.586,45.3,.114,okafoem01
453,Kelvin Ransey,1981,1986,474,24.4,11.4,1.9,5.2,1.0,0.1,.454,.132,.782,17.9,.074,ranseke01
454,Hedo Türkoğlu,2001,2015,997,26.8,11.1,4.0,2.8,0.8,0.3,.426,.384,.784,63.3,.114,turkohe01
455,Kevin Martin,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,.437,.384,.870,61.3,.137,martike02
456,Eric Money,1975,1980,426,25.4,12.2,2.1,3.8,1.2,0.1,.494,,.748,14.8,.065,moneyer01
457,Jason Williams,1999,2011,788,29.4,10.5,2.3,5.9,1.2,0.1,.398,.327,.813,38.5,.080,willija02
458,David Lee,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,.535,.034,.772,76.0,.150,leeda02
459,Kerry Kittles,1997,2005,507,33.4,14.1,3.9,2.6,1.6,0.4,.439,.378,.780,44.8,.127,kittlke01
460,Kendall Gill,1991,2005,966,30.5,13.4,4.1,3.0,1.6,0.4,.434,.300,.754,47.8,.078,gillke01
461,Devin Harris,2005,2019,985,24.3,10.8,2.2,3.9,1.0,0.2,.432,.325,.796,54.9,.110,harride01
462,Wally Szczerbiak,2000,2009,651,30.8,14.1,4.0,2.4,0.6,0.2,.485,.406,.860,53.3,.127,szczewa02
463,Grant Long,1989,2003,1003,28.4,9.5,6.1,1.7,1.2,0.4,.467,.283,.761,60.1,.101,longgr01
464,Billy Owens,1992,2001,600,29.4,11.7,6.7,2.8,0.9,0.5,.481,.291,.629,28.6,.078,owensbi01
